Google,ONS,ONS Code,cases,deaths,pop,total
Aberdeen City,,NA,NA,NA,NA,4
Aberdeenshire,,NA,NA,NA,NA,4
Angus council,,NA,NA,NA,NA,4
Antrim And Newtownabbey,,NA,NA,NA,NA,4
Ards And North Down,,NA,NA,NA,NA,4
Argyll and Bute Council,,NA,NA,NA,NA,4
"Armagh City, Banbridge And Craigavon",,NA,NA,NA,NA,4
Bath and North East Somerset,Bath and North East Somerset,E06000022,E06000022,E06000022,E06000022,0
Bedford,Bedford,E06000055,E06000055,E06000055,E06000055,0
Belfast,,NA,NA,NA,NA,4
Blackburn with Darwen,Blackburn with Darwen,E06000008,E06000008,E06000008,E06000008,0
Blackpool,Blackpool,E06000009,E06000009,E06000009,E06000009,0
Blaenau Gwent,Blaenau Gwent,W06000019,NA,W06000019,W06000019,1
Borough of Halton,Halton,E06000006,E06000006,E06000006,E06000006,0
Bracknell Forest,Bracknell Forest,E06000036,E06000036,E06000036,E06000036,0
Bridgend County Borough,Bridgend,W06000013,NA,W06000013,W06000013,1
Brighton and Hove,Brighton and Hove,E06000043,E06000043,E06000043,E06000043,0
Buckinghamshire,Buckinghamshire,E10000002,E10000002,E10000002,E10000002,0
Caerphilly County Borough,Caerphilly,W06000018,NA,W06000018,W06000018,1
Cambridgeshire,Cambridgeshire,E10000003,E10000003,E10000003,E10000003,0
Cardiff,Cardiff,W06000015,NA,W06000015,W06000015,1
Carmarthenshire,Carmarthenshire,W06000010,NA,W06000010,W06000010,1
Causeway Coast and Glens,,NA,NA,NA,NA,4
Central Bedfordshire,Central Bedfordshire,E06000056,E06000056,E06000056,E06000056,0
Ceredigion,Ceredigion,W06000008,NA,W06000008,W06000008,1
Cheshire East,Cheshire East,E06000049,E06000049,E06000049,E06000049,0
Cheshire West and Chester,Cheshire West and Chester,E06000050,E06000050,E06000050,E06000050,0
City of Bristol,"Bristol, City of",E06000023,E06000023,E06000023,E06000023,0
Clackmannanshire,,NA,NA,NA,NA,4
Conwy Principal Area,Conwy,W06000003,NA,W06000003,W06000003,1
Cornwall,Cornwall,E06000052,E06000052,E06000052,E06000052,0
County Durham,County Durham,E06000047,E06000047,E06000047,E06000047,0
Cumbria,Cumbria,E10000006,E10000006,E10000006,E10000006,0
Darlington,Darlington,E06000005,E06000005,E06000005,E06000005,0
Denbighshire,Denbighshire,W06000004,NA,W06000004,W06000004,1
Derby,Derby,E06000015,E06000015,E06000015,E06000015,0
Derbyshire,Derbyshire,E10000007,E10000007,E10000007,E10000007,0
Derry And Strabane,,NA,NA,NA,NA,4
Devon,Devon,E10000008,E10000008,E10000008,E10000008,0
Dorset,Dorset,E06000059,E06000059,E06000059,E06000059,0
Dumfries and Galloway,,NA,NA,NA,NA,4
Dundee City Council,,NA,NA,NA,NA,4
East Ayrshire Council,,NA,NA,NA,NA,4
East Dunbartonshire Council,,NA,NA,NA,NA,4
East Lothian Council,,NA,NA,NA,NA,4
East Renfrewshire Council,,NA,NA,NA,NA,4
East Riding of Yorkshire,East Riding of Yorkshire,E06000011,E06000011,E06000011,E06000011,0
East Sussex,East Sussex,E10000011,E10000011,E10000011,E10000011,0
Edinburgh,,NA,NA,NA,NA,4
Essex,Essex,E10000012,E10000012,E10000012,E10000012,0
Falkirk,,NA,NA,NA,NA,4
Fermanagh And Omagh,,NA,NA,NA,NA,4
Fife,,NA,NA,NA,NA,4
Flintshire,Flintshire,W06000005,NA,W06000005,W06000005,1
Glasgow City,,NA,NA,NA,NA,4
Gloucestershire,Gloucestershire,E10000013,E10000013,E10000013,E10000013,0
Greater London,,NA,NA,NA,NA,4
Greater Manchester,,NA,NA,NA,NA,4
Gwynedd,Gwynedd,W06000002,NA,W06000002,W06000002,1
Hampshire,Hampshire,E10000014,E10000014,E10000014,E10000014,0
Hartlepool,Hartlepool,E06000001,E06000001,E06000001,E06000001,0
Herefordshire,"Herefordshire, County of",E06000019,E06000019,E06000019,E06000019,0
Hertfordshire,Hertfordshire,E10000015,E10000015,E10000015,E10000015,0
Highland Council,,NA,NA,NA,NA,4
Inverclyde,,NA,NA,NA,NA,4
Isle of Anglesey,Isle of Anglesey,W06000001,NA,W06000001,W06000001,1
Isle of Wight,Isle of Wight,E06000046,E06000046,E06000046,E06000046,0
Kent,Kent,E10000016,E10000016,E10000016,E10000016,0
Kingston upon Hull,"Kingston upon Hull, City of",E06000010,E06000010,E06000010,E06000010,0
Lancashire,Lancashire,E10000017,E10000017,E10000017,E10000017,0
Leicester,Leicester,E06000016,E06000016,E06000016,E06000016,0
Leicestershire,Leicestershire,E10000018,E10000018,E10000018,E10000018,0
Lincolnshire,Lincolnshire,E10000019,E10000019,E10000019,E10000019,0
Lisburn and Castlereagh,,NA,NA,NA,NA,4
Luton,Luton,E06000032,E06000032,E06000032,E06000032,0
Medway,Medway,E06000035,E06000035,E06000035,E06000035,0
Merseyside,,NA,NA,NA,NA,4
Merthyr Tydfil County Borough,Merthyr Tydfil,W06000024,NA,W06000024,W06000024,1
Mid And East Antrim,,NA,NA,NA,NA,4
Mid Ulster,,NA,NA,NA,NA,4
Middlesbrough,Middlesbrough,E06000002,E06000002,E06000002,E06000002,0
Midlothian,,NA,NA,NA,NA,4
Milton Keynes,Milton Keynes,E06000042,E06000042,E06000042,E06000042,0
Monmouthshire,Monmouthshire,W06000021,NA,W06000021,W06000021,1
Moray,,NA,NA,NA,NA,4
Na h-Eileanan an Iar,,NA,NA,NA,NA,4
Neath Port Talbot Principle Area,,W06000012,NA,W06000012,W06000012,1
Newport,Newport,W06000022,NA,W06000022,W06000022,1
"Newry, Mourne And Down",,NA,NA,NA,NA,4
Norfolk,Norfolk,E10000020,E10000020,E10000020,E10000020,0
North Ayrshire Council,,NA,NA,NA,NA,4
North East Lincolnshire,North East Lincolnshire,E06000012,E06000012,E06000012,E06000012,0
North Lanarkshire,,NA,NA,NA,NA,4
North Lincolnshire,North Lincolnshire,E06000013,E06000013,E06000013,E06000013,0
North Somerset,North Somerset,E06000024,E06000024,E06000024,E06000024,0
North Yorkshire,North Yorkshire,E10000023,E10000023,E10000023,E10000023,0
Northamptonshire,Northamptonshire,E10000021,E10000021,E10000021,E10000021,0
Northumberland,Northumberland,E06000057,E06000057,E06000057,E06000057,0
Nottingham,Nottingham,E06000018,E06000018,E06000018,E06000018,0
Nottinghamshire,Nottinghamshire,E10000024,E10000024,E10000024,E10000024,0
Orkney,,NA,NA,NA,NA,4
Oxfordshire,Oxfordshire,E10000025,E10000025,E10000025,E10000025,0
Pembrokeshire,Pembrokeshire,W06000009,NA,W06000009,W06000009,1
Perth and Kinross,,NA,NA,NA,NA,4
Peterborough,Peterborough,E06000031,E06000031,E06000031,E06000031,0
Plymouth,Plymouth,E06000026,E06000026,E06000026,E06000026,0
Portsmouth,Portsmouth,E06000044,E06000044,E06000044,E06000044,0
Powys,Powys,W06000023,NA,W06000023,W06000023,1
Reading,Reading,E06000038,E06000038,E06000038,E06000038,0
Redcar and Cleveland,Redcar and Cleveland,E06000003,E06000003,E06000003,E06000003,0
Renfrewshire,,NA,NA,NA,NA,4
Rhondda Cynon Taff,,NA,NA,NA,NA,4
Rutland,Rutland,E06000017,E06000017,E06000017,E06000017,0
Scottish Borders,,NA,NA,NA,NA,4
Shetland Islands,,NA,NA,NA,NA,4
Shropshire,Shropshire,E06000051,E06000051,E06000051,E06000051,0
Slough,Slough,E06000039,E06000039,E06000039,E06000039,0
Somerset,Somerset,E10000027,E10000027,E10000027,E10000027,0
South Ayrshire Council,,NA,NA,NA,NA,4
South Gloucestershire,South Gloucestershire,E06000025,E06000025,E06000025,E06000025,0
South Lanarkshire,,NA,NA,NA,NA,4
South Yorkshire,,NA,NA,NA,NA,4
Southampton,Southampton,E06000045,E06000045,E06000045,E06000045,0
Southend-on-Sea,Southend-on-Sea,E06000033,E06000033,E06000033,E06000033,0
Staffordshire,Staffordshire,E10000028,E10000028,E10000028,E10000028,0
Stirling,,NA,NA,NA,NA,4
Stockton-on-Tees,Stockton-on-Tees,E06000004,E06000004,E06000004,E06000004,0
Stoke-on-Trent,Stoke-on-Trent,E06000021,E06000021,E06000021,E06000021,0
Suffolk,Suffolk,E10000029,E10000029,E10000029,E10000029,0
Surrey,Surrey,E10000030,E10000030,E10000030,E10000030,0
Swansea,Swansea,W06000011,NA,W06000011,W06000011,1
Swindon,Swindon,E06000030,E06000030,E06000030,E06000030,0
Thurrock,Thurrock,E06000034,E06000034,E06000034,E06000034,0
Torbay,Torbay,E06000027,E06000027,E06000027,E06000027,0
Torfaen Principal Area,Torfaen,W06000020,NA,W06000020,W06000020,1
Tyne and Wear,,NA,NA,NA,NA,4
Vale of Glamorgan,Vale of Glamorgan,W06000014,NA,W06000014,W06000014,1
Warrington,Warrington,E06000007,E06000007,E06000007,E06000007,0
Warwickshire,Warwickshire,E10000031,E10000031,E10000031,E10000031,0
West Berkshire,West Berkshire,E06000037,E06000037,E06000037,E06000037,0
West Dunbartonshire Council,,NA,NA,NA,NA,4
West Lothian,,NA,NA,NA,NA,4
West Midlands,,NA,NA,NA,NA,4
West Sussex,West Sussex,E10000032,E10000032,E10000032,E10000032,0
West Yorkshire,,NA,NA,NA,NA,4
Wiltshire,Wiltshire,E06000054,E06000054,E06000054,E06000054,0
Windsor and Maidenhead,Windsor and Maidenhead,E06000040,E06000040,E06000040,E06000040,0
Wokingham,Wokingham,E06000041,E06000041,E06000041,E06000041,0
Worcestershire,Worcestershire,E10000034,E10000034,E10000034,E10000034,0
Wrexham Principal Area,Wrexham,W06000006,NA,W06000006,W06000006,1
York,York,E06000014,E06000014,E06000014,E06000014,0
